Incident UID
10885
3711
3602
3490
3353
3342
3248
2929
2926
2828
2821
2585
2547
2444
2402
2301
2077
2069
1969
1939
1925
1891
1882
1879
1825
1785
1760
1701
1663
1657
1656
1633
1617
1552
1547
1444
1408
1311
1305
1277
1267
1226
1222
1150
1104
1061
1050
987
963
866
766
749
730
687
660
639
622
610
585
560
536
501
486
486
480
436
373
350
328
288
284
274
268
261
251
245
229
208
200
156
127
116
90
88
82
59
55
48
43
36
31
29
29
24
23
22
20
16
14
12
12
9
8
7
7
6
6
5
5
4
2
1
